family,familykey,genus,genuskey,species,specieskey,IUCNGlobalScopeCategory,IUCNEuropeScopeCategory,IUCNMediterrScopeCategory,OtherNationalCategory,OtherRegionalCategory,IUCNHabitatCodes,IUCNSuitability_Suitable,IUCNMajorImportance_Yes,Analysis,Note
Soricidae,5534.0,Crocidura,2435528.0,Crocidura suaveolens,2435687.0,LC,,,,En perill d'extinció,,,,,
Leporidae,9379.0,Lepus,2436691.0,Lepus castroviejoi,2436788.0,VU,,,,En perill d'extinció,,,,,
Vespertilionidae,9368.0,Plecotus,5428957.0,Plecotus teneriffae,5218519.0,VU,,,Vulnerable,,,,,,
Erinaceidae,5722.0,Erinaceus,8216553.0,Erinaceus concolor,5219624.0,LC,,,,En perill d'extinció,,,,,
Delphinidae,5314.0,Feresa,2440529.0,Feresa attenuata,2440530.0,LC,,,,,,,,,
Sciuridae,9456.0,Sciurus,2437489.0,Sciurus carolinensis,5219681.0,LC,,,,En perill d'extinció,,,,,
Cercopithecidae,9622.0,Macaca,2436602.0,Macaca sylvanus,2436618.0,EN,,,,,,,,,
Hyperoodontidae,5316.0,Mesoplodon,2440393.0,Mesoplodon mirus,2440417.0,LC,,,LESRPE,,,,,,
Procyonidae,5311.0,Procyon,2433592.0,Procyon cancrivorus,9518324.0,LC,,,,En perill d'extinció,,,,,
Delphinidae,5314.0,Stenella,2440546.0,Stenella clymene,5220064.0,LC,,,,En perill d'extinció,,,,,
Balaenidae,9682.0,Eubalaena,2440331.0,Eubalaena glacialis,2440339.0,CR,,,En peligro de extinción,,,,,,
Delphinidae,5314.0,Lagenorhynchus,2440608.0,Lagenorhynchus albirostris,5220081.0,LC,,,,Extinta com a reproductora,,,,,
Odobenidae,9680.0,Odobenus,2433626.0,Odobenus rosmarus,5218819.0,VU,,,,,,,,,
Herpestidae,9678.0,Suricata,2434125.0,Suricata suricatta,2434126.0,LC,,,,,,,,,
Bovidae,9614.0,Oreamnos,2441150.0,Oreamnos americanus,2441151.0,LC,,,,,,,,,
Sciuridae,9456.0,Funisciurus,2437410.0,Funisciurus lemniscatus,2437418.0,LC,,,,Extinta com a reproductora,,,,,
Cricetidae,3240723.0,Microtus,2438591.0,Microtus gerbei,2438662.0,LC,,,,,,,,,
