yearmonth	lat	lon	family	familykey	genus	genuskey	species	specieskey
2013-01	41.797754	2.392149	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2016-06	39.899168	-6.048002	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2016-10	38.66	-0.52	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2018-06	38.78	-0.59	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2019-02	39.71	-0.4	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2021-07	42.617198	-1.275186	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2021-10	41.977	2.21	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2021-12	38.402469	-4.098468	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2022-04	41.406	1.786	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2022-09	39.284645	-3.983198	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2022-10	42.97014	-7.571275	Mustelidae	5307	Martes	2433765	Martes martes	5218878
2023-08	41.952	2.596	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2009-05	38.66	-0.51	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2010-08	39.46	-1.37	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2010-08	42.459494	-8.421894	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2012-02	41.948144	1.883798	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2015-01	41.215789	-6.09621	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2015-10	40.58	-0.04	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2018-02	38.67	-0.56	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2018-02	39.698037	2.801562	Mustelidae	5307	Martes	2433765	Martes martes	5218878
2020-04	42.062	1.049	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2020-10	41.708	2.285	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2020-10	42.575835	-4.558248	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2022-05	37.115	-2.758	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2023-02	40.183569	-3.552472	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2023-02	42.437	1.365	Mustelidae	5307	Martes	2433765	Martes martes	5218878
2023-09	37.425274	-3.878174	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2023-12	41.555	2.395	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2024-02	43.17219	-6.993299	Mustelidae	5307	Martes	2433765	Martes martes	5218878
2007-02	41.834139	2.464065	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2009-01	38.67	-0.55	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2018-01	39.821884	3.058658	Mustelidae	5307	Martes	2433765	Martes martes	5218878
2021-03	39.08	-1.05	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2021-07	42.597	1.215	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2022-04	39.668882	-5.82629	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2022-06	42.64	1.104	Mustelidae	5307	Martes	2433765	Martes foina	5218887
1993-08	39.85	-1.15	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2009-06	41.911873	0.960012	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2012-02	38.67	-0.55	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2012-06	43.073917	-4.543312	Mustelidae	5307	Martes	2433765	Martes martes	5218878
2014-07	41.752388	2.332436	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2019-07	39.61	-0.83	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2020-01	41.777	1.996	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2020-01	41.977	2.198	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2020-04	41.989	2.777	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2021-05	42.268	3.213	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2021-09	39.91	-0.41	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2022-04	40.16	0.02	Mustelidae	5307	Martes	2433765	Martes foina	5218887
1993-01	39.35	-1.36	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2017-09	38.67	-0.56	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2019-03	38.7	-0.61	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2019-11	39.151143	-3.874344	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2020-11	41.335	1.883	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2021-08	41.305	0.534	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2022-10	39.44	-0.75	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2023-06	41.83	1.887	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2023-06	42.33	1.502	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2013-11	38.67	-0.48	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2016-08	39.855	3.0321	Mustelidae	5307	Martes	2433765	Martes martes	5218878
2020-10	42.195	0.924	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2021-08	42.518431	0.140184	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2022-02	42.31762	-1.598105	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2022-07	37.082	-2.762	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2022-07	42.9184	-1.516261	Mustelidae	5307	Martes	2433765	Martes martes	5218878
2022-10	41.58	2.107	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2023-06	39.674571	-5.841609	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2011-09	38.67	-0.55	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2014-04	41.752388	2.332436	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2018-06	39.71	-0.4	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2018-06	42.853684	-4.038606	Mustelidae	5307	Martes	2433765	Martes martes	5218878
2020-05	38.66	-0.56	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2020-05	41.878	2.199	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2020-08	37.89	-6.72	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2021-07	41.917	2.85	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2022-02	40.07	0.0	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2022-07	43.500168	-7.609146	Mustelidae	5307	Martes	2433765	Martes martes	5218878
2022-10	37.152734	-4.516908	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2023-01	41.196	1.504	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2013-12	39.84	-1.15	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2014-05	40.08	-1.26	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2015-04	40.15	-1.24	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2018-10	38.724258	-0.490978	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2020-04	37.99	-6.82	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2020-07	37.89	-6.41	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2020-10	41.628	1.47	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2020-12	40.939	0.274	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2021-02	39.75	-0.47	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2023-03	41.758	1.864	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2023-06	38.710803	-3.499021	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2023-06	42.43	2.922	Mustelidae	5307	Martes	2433765	Martes foina	5218887
1996-09	40.08	-0.53	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2009-12	38.67	-0.55	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2011-02	38.51	-0.72	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2011-12	39.39	-0.34	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2012-12	41.788747	2.392234	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2014-03	39.77	-1.22	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2018-02	38.88	-0.4	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2020-09	41.928	1.077	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2020-10	41.154	0.635	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2021-02	41.198	0.562	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2024-04	39.136678	-1.748715	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2024-05	38.888903	-0.498469	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2010-06	38.66	-0.52	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2010-08	38.67	-0.47	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2011-07	40.53	-0.16	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2018-07	42.959949	-2.81094	Mustelidae	5307	Martes	2433765	Martes martes	5218878
2022-02	40.07	0.02	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2022-03	38.66	-0.44	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2022-03	38.67	-0.47	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2023-01	38.67	-0.55	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2023-04	42.068	1.435	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2007-04	40.07	-0.51	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2009-07	39.7	-0.91	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2016-01	38.67	-0.53	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2018-11	39.698738	3.013717	Mustelidae	5307	Martes	2433765	Martes martes	5218878
2019-03	41.951667	3.190533	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2021-05	39.63	-0.91	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2021-08	43.21616	-6.261817	Mustelidae	5307	Martes	2433765	Martes martes	5218878
2022-08	42.479	1.206	Mustelidae	5307	Martes	2433765	Martes martes	5218878
2023-04	41.228	0.728	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2010-06	38.76	-0.51	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2012-05	40.66	0.13	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2016-08	38.61	-0.49	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2017-08	42.649704	0.145118	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2019-09	39.796383	3.111448	Mustelidae	5307	Martes	2433765	Martes martes	5218878
2020-11	40.724	0.342	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2022-01	41.5	2.252	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2022-02	41.591	2.335	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2011-05	39.28	-0.91	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2012-06	39.73	-0.98	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2012-12	40.352644	-5.094781	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2018-03	39.78	-0.85	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2019-08	43.617348	-7.321447	Mustelidae	5307	Martes	2433765	Martes martes	5218878
2020-05	38.81	-0.29	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2020-09	42.322	1.538	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2021-07	37.52853	-6.086581	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2022-08	41.678	1.997	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2023-02	41.73	0.59	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2023-08	41.995095	-1.796455	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2023-09	39.571458	2.832939	Mustelidae	5307	Martes	2433765	Martes martes	5218878
2012-07	41.725886	2.428896	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2014-03	38.81	-0.5	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2015-08	38.67	-0.53	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2015-08	41.250492	-5.989137	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2015-09	42.828853	-2.651941	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2019-10	43.564083	-5.735915	Mustelidae	5307	Martes	2433765	Martes martes	5218878
2021-01	38.59	-0.74	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2021-09	43.399689	-5.701962	Mustelidae	5307	Martes	2433765	Martes martes	5218878
2021-10	41.907	2.524	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2022-11	39.7	-0.84	Mustelidae	5307	Martes	2433765	Martes foina	5218887
1996-07	39.92	-0.98	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2009-05	38.7	-0.56	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2014-03	41.752317	2.320409	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2016-05	38.66	-0.56	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2016-06	37.769765	-5.825983	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2016-06	39.72	-0.96	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2017-10	42.862478	-4.052892	Mustelidae	5307	Martes	2433765	Martes martes	5218878
2017-12	38.66	-0.56	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2018-04	38.66	-0.52	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2019-08	43.363596	-4.421053	Mustelidae	5307	Martes	2433765	Martes martes	5218878
2020-02	40.08	0.03	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2022-08	38.87	-0.77	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2023-01	39.442253	-5.458024	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2023-03	43.515146	-5.658019	Mustelidae	5307	Martes	2433765	Martes martes	5218878
2023-05	42.177	0.924	Mustelidae	5307	Martes	2433765	Martes foina	5218887
1993-07	38.67	-0.53	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2010-02	38.72	-0.65	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2013-11	39.7	-0.96	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2018-06	39.636844	2.770167	Mustelidae	5307	Martes	2433765	Martes martes	5218878
2018-12	41.94	-3.5	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2020-12	39.84	-1.0	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2021-01	43.34557	-6.387017	Mustelidae	5307	Martes	2433765	Martes martes	5218878
2021-05	38.66	-0.52	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2022-07	42.205	0.947	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2023-07	41.86	2.127	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2009-09	41.753662	2.609076	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2011-11	40.68	0.2	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2012-09	42.443183	3.047695	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2019-02	39.72	-0.45	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2019-12	39.569944	2.862375	Mustelidae	5307	Martes	2433765	Martes martes	5218878
2020-07	39.38	-1.02	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2021-04	41.888	2.283	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2022-11	39.709747	-0.380387	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2012-06	38.66	-0.26	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2015-04	39.76	-1.0	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2017-03	42.860556	-1.508135	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2017-06	43.281919	-4.236986	Mustelidae	5307	Martes	2433765	Martes martes	5218878
2017-07	38.89	-0.33	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2020-10	42.466156	0.139815	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2022-04	39.842941	2.821507	Mustelidae	5307	Martes	2433765	Martes martes	5218878
2022-05	43.376556	-6.825315	Mustelidae	5307	Martes	2433765	Martes martes	5218878
2009-05	38.67	-0.56	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2010-10	39.16	-0.97	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2013-06	39.9	-1.19	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2017-01	39.13	-1.07	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2018-04	39.647899	2.669066	Mustelidae	5307	Martes	2433765	Martes martes	5218878
2018-06	38.66	-0.55	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2019-06	37.942562	-5.632211	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2019-07	39.76	-0.19	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2019-10	38.533926	-0.960002	Mustelidae	5307	Martes	2433765	Martes foina	5218887
2019-11	42.112702	-1.779705	Mustelidae	5307	Martes	2433765	Martes foina	5218887
